,model_name,temp_uncertainty,test_error,test_std,Hour
54,xgb_best_max_hour,10,287.5660239509006,12.840032165683347,17
55,lin_xgb_best_per_hour,0,115.65259301747172,0.0,17
56,lin_xgb_best_per_hour,1,127.48182564292128,2.539534978792381,17
57,lin_xgb_best_per_hour,2,143.17725202799886,4.275555578631175,17
58,lin_xgb_best_per_hour,3,161.92783528196776,6.294579299924691,17
59,lin_xgb_best_per_hour,4,182.88096918604316,7.778933235002941,17
60,lin_xgb_best_per_hour,5,206.6970239569842,8.85966891689354,17
61,lin_xgb_best_per_hour,6,231.35393580938631,9.913779330996492,17
62,lin_xgb_best_per_hour,7,256.1789122020906,10.407877419408369,17
63,lin_xgb_best_per_hour,8,278.8788824025322,10.30865335791585,17
64,lin_xgb_best_per_hour,9,305.7340716381375,11.576158779227173,17
65,lin_xgb_best_per_hour,10,328.97928496332935,12.128573227042017,17
66,lin_xgb_best_max_hour,0,114.69608419104726,0.0,17
67,lin_xgb_best_max_hour,1,128.37970092942908,2.9917204237943498,17
68,lin_xgb_best_max_hour,2,144.95039991472584,4.921122363956245,17
69,lin_xgb_best_max_hour,3,166.7171927674149,6.791487960950933,17
70,lin_xgb_best_max_hour,4,189.56469954729354,7.766609626000922,17
71,lin_xgb_best_max_hour,5,212.8486355593281,8.1639758118158,17
72,lin_xgb_best_max_hour,6,237.00570734667133,9.508371440553349,17
73,lin_xgb_best_max_hour,7,263.993041074268,9.776687243448526,17
74,lin_xgb_best_max_hour,8,285.68774725692384,11.376382641376244,17
75,lin_xgb_best_max_hour,9,312.31154169501883,11.66544817718184,17
76,lin_xgb_best_max_hour,10,337.96280632355933,11.912653535628179,17
0,linears,0,116.98683925322372,0.0,18
1,linears,1,121.52849924926346,1.4643672344076115,18
2,linears,2,128.8183197177927,2.6930136483485017,18
3,linears,3,139.99529627036083,4.232825187646102,18
4,linears,4,154.15647089661925,5.412355706157689,18
5,linears,5,170.71753593668535,6.436436000305497,18
6,linears,6,188.80583423489955,7.278481810276969,18
7,linears,7,208.8380632996706,9.628586575733786,18
8,linears,8,225.56240172429133,8.717922141102873,18
9,linears,9,246.066076879401,9.642309958030124,18
10,linears,10,265.04626610203263,12.422856922336779,18
11,ridges,0,117.59886183032306,0.0,18
12,ridges,1,122.54800178873022,1.3946205766588657,18
13,ridges,2,129.6627007227072,2.9371729926612717,18
14,ridges,3,140.62411447134423,4.332879934104237,18
15,ridges,4,154.79847831467768,5.778681378254192,18
16,ridges,5,172.8564172670315,6.11121344388811,18
17,ridges,6,187.53473244997716,6.7855461890562365,18
18,ridges,7,205.78357457415538,9.435445304015179,18
19,ridges,8,225.31248557099377,9.146573656371357,18
20,ridges,9,243.8175972690415,10.20528240336842,18
21,ridges,10,263.7705303930234,11.603382528379447,18
22,lassos,0,117.93230992637415,0.0,18
23,lassos,1,123.0299199915691,1.5697295325313274,18
24,lassos,2,130.7113926254724,2.682324413104417,18
25,lassos,3,142.687223937398,3.7963101147391995,18
26,lassos,4,157.35295309830636,5.3049137255708025,18
27,lassos,5,174.14250369692905,6.877970760465896,18
28,lassos,6,191.6872070639146,7.651771780283656,18
29,lassos,7,211.46706582381125,7.302133118947154,18
30,lassos,8,229.21423403317695,10.046516543330876,18
31,lassos,9,249.35704892555103,9.813326171053443,18
32,lassos,10,269.6782453658258,11.951470037596318,18
33,xgb_best_per_hour,0,118.3849250306242,0.0,18
34,xgb_best_per_hour,1,123.78871979678212,2.6167947925581223,18
35,xgb_best_per_hour,2,140.7136201528215,5.141425947143967,18
36,xgb_best_per_hour,3,159.48316670823158,6.788937692335987,18
37,xgb_best_per_hour,4,177.7187975894004,8.135046679289834,18
38,xgb_best_per_hour,5,195.7797871942542,7.931202788906895,18
39,xgb_best_per_hour,6,210.3739654137137,10.36355676383054,18
40,xgb_best_per_hour,7,223.75010044132162,9.735676734388903,18
41,xgb_best_per_hour,8,235.51824914880766,9.715334459163042,18
42,xgb_best_per_hour,9,247.45591356149515,11.164472884177407,18
43,xgb_best_per_hour,10,256.3979293622669,10.944899073231642,18
44,xgb_best_max_hour,0,117.95329525246689,0.0,18
45,xgb_best_max_hour,1,123.69085833965883,2.910667492093597,18
46,xgb_best_max_hour,2,140.16696712918184,4.810332199624514,18
47,xgb_best_max_hour,3,158.63796675999447,5.962803629680767,18
48,xgb_best_max_hour,4,177.6267009981858,6.956148499703999,18
49,xgb_best_max_hour,5,195.0172040730864,9.087702873614624,18
50,xgb_best_max_hour,6,210.76251327891623,9.213040960746525,18
51,xgb_best_max_hour,7,223.57990448680385,9.882063761728972,18
52,xgb_best_max_hour,8,236.63808292380145,11.437500046619364,18
53,xgb_best_max_hour,9,247.3352309581778,10.622828028475249,18
54,xgb_best_max_hour,10,255.6362362266695,10.362007771102016,18
55,lin_xgb_best_per_hour,0,108.82906306453933,0.0,18
56,lin_xgb_best_per_hour,1,118.66751288023914,2.0849962132486892,18
57,lin_xgb_best_per_hour,2,130.50471661726522,3.5362013600654523,18
58,lin_xgb_best_per_hour,3,147.31455945808204,5.720686415607461,18
59,lin_xgb_best_per_hour,4,165.546890231123,5.9521429956039755,18
60,lin_xgb_best_per_hour,5,187.56218955231373,7.562721697595834,18
61,lin_xgb_best_per_hour,6,208.59173200908648,8.305259990113766,18
62,lin_xgb_best_per_hour,7,231.29452135240157,9.886776602915065,18
63,lin_xgb_best_per_hour,8,251.01710392026314,9.694113610262242,18
64,lin_xgb_best_per_hour,9,274.03682973453886,11.827517093627451,18
65,lin_xgb_best_per_hour,10,296.3102673922449,13.253892401134499,18
66,lin_xgb_best_max_hour,0,107.90178732365234,0.0,18
67,lin_xgb_best_max_hour,1,122.84453680694035,3.049557096367967,18
68,lin_xgb_best_max_hour,2,138.85354523101313,4.221702244684339,18
69,lin_xgb_best_max_hour,3,158.6125280008233,6.600049796480546,18
70,lin_xgb_best_max_hour,4,181.2562030113596,7.556517362018283,18
71,lin_xgb_best_max_hour,5,205.3681417289078,8.617441923846783,18
72,lin_xgb_best_max_hour,6,226.92564888589305,7.676710332198445,18
73,lin_xgb_best_max_hour,7,252.9306905546168,12.262090696466686,18
74,lin_xgb_best_max_hour,8,275.6451655206224,11.306585545211124,18
75,lin_xgb_best_max_hour,9,295.6727442015068,12.742181490246953,18
76,lin_xgb_best_max_hour,10,321.78396273949477,12.310327556900274,18
0,linears,0,102.38655591088269,0.0,19
1,linears,1,105.17944867432989,1.46593228099685,19
2,linears,2,113.34576014119726,2.639294395040222,19
3,linears,3,126.85873902558411,4.046634700128558,19
4,linears,4,142.04904438944266,5.234752006942452,19
5,linears,5,159.6096485450365,6.009462868360869,19
6,linears,6,177.81477650579512,6.495356750605144,19
7,linears,7,196.4310091382035,8.439602216949401,19
8,linears,8,215.50823033699504,9.322004904800592,19
9,linears,9,236.62863410575156,10.440266147424959,19
10,linears,10,253.88346554341535,10.901076992341913,19
11,ridges,0,102.96370585685172,0.0,19
12,ridges,1,106.06300597958308,1.5440922258476346,19
13,ridges,2,114.14244941213167,2.6176228904551664,19
14,ridges,3,126.59852804621501,4.13512657692325,19
15,ridges,4,141.62627175508356,5.086697005711132,19
16,ridges,5,156.8892464026648,6.178455951910749,19
17,ridges,6,175.37373444072645,7.582093939590552,19
18,ridges,7,194.7477831507114,8.63335755536112,19
19,ridges,8,213.44732405289113,9.697578276958877,19
20,ridges,9,234.32853281451375,9.599931419235492,19
21,ridges,10,252.55179283316676,10.715072182782924,19
22,lassos,0,103.44452008496305,0.0,19
23,lassos,1,106.57790937494676,1.477775521017925,19
24,lassos,2,115.3581758543281,2.889333052946775,19
25,lassos,3,127.6931479197149,4.173136069820165,19
26,lassos,4,143.46695195631222,5.788395380391173,19
27,lassos,5,161.38210768535245,6.069242406736911,19
28,lassos,6,178.00872959329675,7.055331649810253,19
29,lassos,7,198.9970895664367,8.353833572509028,19
30,lassos,8,217.49396374258941,9.281635337137773,19
31,lassos,9,237.95864185524297,9.229140156914088,19
32,lassos,10,258.55504934930696,12.622487773688135,19
33,xgb_best_per_hour,0,108.38608439594252,0.0,19
34,xgb_best_per_hour,1,109.99424298896967,2.1626516280770876,19
35,xgb_best_per_hour,2,121.90394406497627,4.207947554519719,19
36,xgb_best_per_hour,3,137.2778098657822,5.546645470701834,19
37,xgb_best_per_hour,4,151.3877734232517,7.087956021298735,19
38,xgb_best_per_hour,5,165.93313140314444,6.878695710824622,19
39,xgb_best_per_hour,6,176.98296898299435,9.52439809878536,19
40,xgb_best_per_hour,7,190.35598739900692,9.42415983055912,19
41,xgb_best_per_hour,8,198.40918652761104,10.806810498493045,19
42,xgb_best_per_hour,9,206.97861948049055,10.130350668572547,19
43,xgb_best_per_hour,10,214.19248444351243,8.77602487372932,19
44,xgb_best_max_hour,0,108.38608439594252,0.0,19
45,xgb_best_max_hour,1,109.85132930016835,2.0408228727839015,19
46,xgb_best_max_hour,2,122.93103685059897,3.9295406055064404,19
47,xgb_best_max_hour,3,137.22764147189454,4.634873176883996,19
48,xgb_best_max_hour,4,152.56030247419068,6.402903953743567,19
49,xgb_best_max_hour,5,164.41791187879474,7.6288982179843385,19
50,xgb_best_max_hour,6,177.06966356227235,9.574822561720893,19
51,xgb_best_max_hour,7,187.78249409352875,9.529931484665424,19
52,xgb_best_max_hour,8,198.7300114012278,9.435869739061026,19
53,xgb_best_max_hour,9,205.4881963481566,9.823252583217469,19
