,model_name,temp_uncertainty,test_error,test_std,Season
26,lassos,4,192.86914252919357,2.7182891727744045,Summer
27,lassos,5,202.99523851697282,3.2102241870781194,Summer
28,lassos,6,213.212990626353,3.9980923203122867,Summer
29,lassos,7,225.50025550178327,4.52001859809345,Summer
30,lassos,8,237.4630265611531,4.671111229104576,Summer
31,lassos,9,253.81323192928838,4.906189638755547,Summer
32,lassos,10,268.3802036725967,6.384413600390609,Summer
33,xgb_best_per_hour,0,187.36801685462152,0.0,Summer
34,xgb_best_per_hour,1,193.81133753356255,1.6851304335271335,Summer
35,xgb_best_per_hour,2,207.19366492723853,2.887462890709314,Summer
36,xgb_best_per_hour,3,225.633741981663,3.8871017482955845,Summer
37,xgb_best_per_hour,4,243.9906579422382,4.898944902768493,Summer
38,xgb_best_per_hour,5,260.1562821097093,5.642851758320569,Summer
39,xgb_best_per_hour,6,278.1312353189837,6.377151984192994,Summer
40,xgb_best_per_hour,7,290.4953345626588,7.188841389436954,Summer
41,xgb_best_per_hour,8,304.03955887292136,7.448368466913455,Summer
42,xgb_best_per_hour,9,314.10537059548847,6.91990431878391,Summer
43,xgb_best_per_hour,10,324.8059811202313,8.351124911147785,Summer
44,xgb_best_max_hour,0,186.07309933916494,0.0,Summer
45,xgb_best_max_hour,1,192.95294701735358,1.3941811079594015,Summer
46,xgb_best_max_hour,2,207.17700329424554,2.837338401397562,Summer
47,xgb_best_max_hour,3,224.2429869342979,3.9204058095003163,Summer
48,xgb_best_max_hour,4,242.10356049863077,5.359416349731374,Summer
49,xgb_best_max_hour,5,258.3916794025552,5.809131871620677,Summer
50,xgb_best_max_hour,6,274.98748151794615,5.931491909283432,Summer
51,xgb_best_max_hour,7,288.72017230820484,7.210680193662705,Summer
52,xgb_best_max_hour,8,301.3093231300356,7.417447405801568,Summer
53,xgb_best_max_hour,9,310.8456083517945,8.36763461482416,Summer
54,xgb_best_max_hour,10,320.5377126966945,7.500000452665921,Summer
55,lin_xgb_best_per_hour,0,149.96736220284498,0.0,Summer
56,lin_xgb_best_per_hour,1,157.66418649504743,1.5246669128037083,Summer
57,lin_xgb_best_per_hour,2,168.42548009243316,2.287131193747142,Summer
58,lin_xgb_best_per_hour,3,183.8765904637443,3.3395888346454603,Summer
59,lin_xgb_best_per_hour,4,201.4357244438375,4.120767868052637,Summer
60,lin_xgb_best_per_hour,5,220.4368140448722,5.187652742989478,Summer
61,lin_xgb_best_per_hour,6,239.26597175169377,5.680175847174439,Summer
62,lin_xgb_best_per_hour,7,258.46937421592645,6.042877000300949,Summer
63,lin_xgb_best_per_hour,8,279.2033968467762,7.783399130478626,Summer
64,lin_xgb_best_per_hour,9,301.204681306546,7.08890814062925,Summer
65,lin_xgb_best_per_hour,10,322.61821755480526,8.425092092826874,Summer
66,lin_xgb_best_max_hour,0,149.77949187648008,0.0,Summer
67,lin_xgb_best_max_hour,1,158.9794966864907,1.4036758130463878,Summer
68,lin_xgb_best_max_hour,2,169.40029914121567,2.4664326771421234,Summer
69,lin_xgb_best_max_hour,3,185.40164856597713,3.601419790151123,Summer
70,lin_xgb_best_max_hour,4,203.1849628785206,4.154053514977753,Summer
71,lin_xgb_best_max_hour,5,222.09495912419118,5.084632420590205,Summer
72,lin_xgb_best_max_hour,6,241.64126566970324,5.7961497079052755,Summer
73,lin_xgb_best_max_hour,7,260.40805923487676,6.2166525809151585,Summer
74,lin_xgb_best_max_hour,8,282.12294805233387,6.508873092947111,Summer
75,lin_xgb_best_max_hour,9,301.45812019525584,6.10683413988583,Summer
76,lin_xgb_best_max_hour,10,322.8283527902831,8.614986270370261,Summer
